Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,HighSales
4.56,127715,57064,0,168,122280,Bad,44,12,Yes,Yes,0
12.44,115034,81520,12681,16,63405,Medium,48,15,No,Yes,1
4.38,114128,88766,0,173,97824,Bad,55,16,Yes,No,0
3.91,105070,47101,0,349,88766,Bad,69,18,Yes,No,0
10.61,142207,84238,0,51,134961,Good,32,17,Yes,No,1
1.42,89672,28985,16304,341,97824,Bad,80,16,Yes,Yes,0
4.42,109599,81520,0,150,97824,Bad,75,16,Yes,No,0
7.91,138584,36231,2717,112,116846,Bad,39,18,Yes,Yes,0
6.92,98730,57970,11775,39,107788,Medium,61,17,Yes,Yes,0
4.9,121375,93295,11775,25,130432,Medium,76,17,No,Yes,0
6.85,129527,73368,4529,60,139490,Medium,61,18,Yes,Yes,0
11.91,120469,74274,0,54,76086,Medium,50,17,Yes,No,1
0.91,84238,82426,0,22,105976,Bad,75,11,Yes,No,0
5.42,93295,84238,13587,188,93295,Bad,74,16,Yes,Yes,0
5.21,106882,64310,3623,148,103259,Medium,80,13,Yes,No,0
8.32,110505,92390,17210,469,111411,Bad,29,13,Yes,Yes,1
7.32,95107,28985,0,358,96918,Medium,26,13,No,No,0
1.82,125903,40760,0,146,120469,Bad,77,17,Yes,Yes,0
8.47,107788,79709,9058,170,91484,Medium,61,13,Yes,Yes,1
7.8,90578,60687,10869,184,94201,Medium,32,16,No,Yes,0
4.9,110505,23550,0,197,115940,Medium,55,13,No,No,0
8.85,115034,83332,0,508,82426,Medium,56,18,Yes,No,1
9.01,114128,55253,12681,152,104165,Medium,47,16,Yes,Yes,1
13.39,134961,62499,18116,366,121375,Good,60,13,Yes,Yes,1
7.99,115034,53441,0,339,89672,Medium,65,12,Yes,No,0
9.46,80614,73368,13587,237,89672,Good,74,12,Yes,Yes,1
6.5,134055,46195,14492,148,135867,Medium,58,17,No,Yes,0
5.52,104165,40760,0,432,105070,Medium,25,15,Yes,No,0
12.61,106882,81520,9058,54,94201,Good,31,11,No,Yes,1
6.2,135867,61593,4529,125,123186,Medium,64,13,No,Yes,0
8.55,79709,100542,20833,480,83332,Bad,36,16,No,Yes,1
10.64,92390,78803,9058,346,63405,Medium,64,15,Yes,Yes,1
7.7,106882,64310,10869,44,80614,Medium,67,18,No,Yes,0
4.43,121375,43477,906,139,131338,Medium,65,12,Yes,Yes,0
9.14,121375,60687,0,286,81520,Bad,41,13,Yes,No,1
8.01,102353,90578,14492,353,71557,Bad,68,11,Yes,Yes,1
7.52,105070,65216,0,237,115940,Good,70,13,Yes,No,0
11.62,136773,75180,3623,325,125903,Good,28,17,Yes,Yes,1
4.42,98730,32608,6340,468,85143,Bad,56,11,Yes,Yes,0
2.23,100542,22644,0,52,109599,Bad,43,18,No,No,0
8.47,113222,93295,0,304,101447,Medium,49,13,No,No,1
8.7,135867,76086,8152,432,121375,Medium,64,15,Yes,No,1
11.7,118657,60687,6340,272,114128,Good,54,16,No,Yes,1
6.56,105976,38043,6340,144,100542,Medium,62,10,Yes,Yes,0
7.95,115940,59781,2717,493,107788,Medium,45,16,No,No,0
5.33,104165,19927,0,491,93295,Medium,64,11,No,No,0
4.81,87861,41666,9964,267,96918,Medium,80,15,Yes,Yes,0
4.53,103259,102353,0,97,113222,Medium,29,12,Yes,No,0
8.86,131338,27173,0,67,94201,Medium,55,17,Yes,No,1
8.39,104165,87861,4529,134,76086,Bad,55,11,Yes,Yes,1
5.58,121375,22644,9058,237,134055,Medium,59,13,Yes,Yes,0
9.48,133150,38043,9058,407,119563,Good,73,16,No,Yes,1
7.45,145831,74274,4529,287,116846,Bad,33,16,Yes,Yes,0
12.49,110505,69745,21739,382,115034,Good,36,16,No,Yes,1
4.88,109599,42572,2717,220,96918,Bad,56,16,No,Yes,0
4.11,102353,62499,9964,94,96013,Medium,76,12,No,Yes,0
6.2,115940,84238,0,89,106882,Medium,34,18,Yes,No,0
5.3,102353,19927,0,57,87861,Medium,65,16,No,No,0
5.07,111411,82426,0,334,86955,Bad,78,17,Yes,Yes,0
4.62,109599,86955,0,472,124998,Medium,51,12,Yes,No,0
5.55,94201,90578,7246,398,87861,Medium,61,11,Yes,Yes,0
0.16,92390,29891,0,217,125903,Medium,70,18,No,No,0
8.55,121375,96918,0,104,97824,Medium,60,12,Yes,No,1
3.47,96918,71557,1812,488,93295,Bad,65,16,Yes,No,0
8.98,104165,58876,0,217,81520,Medium,60,17,No,No,1
9.0,115940,56158,6340,125,105070,Medium,43,14,Yes,Yes,1
6.62,119563,106882,10869,272,136773,Medium,43,14,Yes,Yes,0
6.67,105070,89672,4529,298,113222,Good,62,12,Yes,Yes,0
6.01,118657,26268,9964,335,115034,Bad,33,12,Yes,Yes,0
9.31,110505,78803,8152,17,96013,Medium,65,13,Yes,Yes,1
8.54,125903,31702,0,95,116846,Medium,42,13,Yes,No,1
5.08,122280,67934,0,202,115940,Medium,80,10,No,No,0
8.8,131338,48006,0,507,107788,Medium,41,12,Yes,No,1
7.57,101447,79709,1812,243,89672,Medium,62,11,Yes,Yes,0
7.37,117751,85143,7246,137,115940,Medium,64,12,Yes,Yes,0
6.87,115940,95107,9964,249,118657,Medium,63,13,Yes,Yes,0
11.67,113222,80614,9058,380,78803,Bad,28,10,Yes,Yes,1
6.88,107788,90578,4529,45,97824,Medium,75,10,Yes,Yes,0
8.19,115034,93295,0,125,140396,Good,29,15,No,Yes,1
8.87,118657,102353,0,181,108694,Good,63,14,Yes,No,1
9.34,80614,70651,0,181,44383,Medium,43,15,No,No,1
11.27,138584,61593,1812,60,120469,Good,59,16,Yes,Yes,1
6.52,113222,43477,2717,192,105070,Medium,51,14,Yes,Yes,0
4.96,120469,90578,2717,350,114128,Bad,55,13,Yes,Yes,0
4.47,129527,108694,6340,279,133150,Bad,40,10,No,Yes,0
8.41,85143,76086,11775,497,69745,Medium,51,12,Yes,Yes,1
6.5,97824,62499,2717,208,85143,Medium,77,16,Yes,No,0
9.54,113222,78803,8152,232,123186,Good,72,10,Yes,Yes,1
7.62,119563,88766,1812,265,87861,Bad,62,12,Yes,Yes,0
3.67,119563,28079,0,327,118657,Medium,76,16,Yes,No,0
6.44,86955,85143,12681,384,108694,Medium,36,18,No,Yes,0
5.17,118657,67934,0,10,108694,Bad,31,18,No,No,0
6.52,115940,38043,0,436,106882,Medium,80,11,Yes,No,0
10.27,113222,93295,10869,371,98730,Medium,44,10,Yes,Yes,1
12.3,132244,56158,9058,310,85143,Medium,30,13,No,Yes,1
6.03,120469,54347,9058,277,116846,Medium,45,18,Yes,Yes,0
6.53,126809,38043,0,331,118657,Bad,28,15,Yes,No,0
7.44,112317,76086,0,300,94201,Medium,77,15,Yes,No,0
0.53,110505,79709,6340,36,144019,Bad,28,17,Yes,Yes,0
9.09,119563,61593,0,264,111411,Good,34,11,No,No,1
8.77,130432,57064,9964,27,105976,Medium,47,17,Yes,Yes,1
3.9,103259,75180,0,412,118657,Bad,39,14,Yes,No,0
10.51,126809,48912,8152,402,107788,Good,41,16,No,Yes,1
7.56,99636,107788,0,384,87861,Medium,72,14,No,Yes,0
11.48,109599,108694,11775,140,78803,Medium,56,11,Yes,Yes,1
10.49,110505,76086,7246,176,103259,Good,57,10,No,Yes,1
10.77,100542,52535,15398,407,93295,Good,75,17,No,Yes,1
7.64,115940,70651,0,341,115940,Good,45,13,No,No,0
5.93,135867,32608,6340,488,135867,Medium,25,17,No,Yes,0
6.89,116846,62499,9058,289,99636,Medium,50,16,No,Yes,0
7.71,88766,65216,0,59,62499,Medium,65,16,Yes,No,0
7.49,132244,30797,0,220,142207,Good,51,16,Yes,No,0
10.21,109599,52535,7246,249,81520,Medium,48,13,No,Yes,1
12.53,128621,81520,906,189,101447,Good,39,10,No,Yes,1
9.32,107788,54347,0,372,63405,Bad,30,18,No,No,1
4.67,100542,25362,0,486,100542,Medium,29,12,No,No,0
2.93,129527,19021,4529,81,144925,Medium,67,12,No,Yes,0
3.63,110505,67028,0,424,134961,Medium,51,13,Yes,No,0
5.68,117751,57970,0,40,96013,Bad,39,17,No,No,0
8.22,134055,57970,0,58,127715,Medium,27,13,No,Yes,1
0.37,133150,52535,6340,100,173004,Bad,27,15,Yes,Yes,0
6.71,107788,60687,15398,151,124092,Medium,55,11,Yes,Yes,0
6.71,96013,66122,0,216,84238,Medium,60,13,Yes,No,0
7.3,116846,80614,0,425,105976,Medium,45,10,Yes,No,0
11.48,94201,37137,13587,492,69745,Good,73,18,Yes,Yes,1
8.01,115940,35325,10869,356,106882,Medium,71,10,Yes,Yes,1
12.49,84238,96013,10869,416,49818,Medium,75,15,Yes,Yes,1
9.03,94201,92390,11775,123,99636,Good,35,16,Yes,Yes,1
6.38,122280,82426,4529,207,115940,Medium,66,18,Yes,Yes,0
0.0,125903,21739,0,358,167569,Medium,79,15,No,No,0
7.54,104165,80614,0,38,110505,Medium,25,12,Yes,No,0
5.61,124998,96918,8152,480,139490,Medium,47,11,No,Yes,0
10.48,124998,65216,0,148,85143,Medium,27,17,Yes,Yes,1
10.66,94201,64310,12681,89,73368,Medium,25,14,No,Yes,1
7.78,130432,22644,2717,70,105070,Medium,77,18,Yes,Yes,0
4.94,124092,101447,13587,434,134961,Bad,66,13,Yes,Yes,0
7.43,109599,75180,0,79,82426,Medium,68,11,Yes,No,0
4.74,124092,54347,3623,230,126809,Bad,25,13,Yes,No,0
5.32,106882,67028,5435,426,92390,Medium,80,18,Yes,Yes,0
9.95,119563,29891,6340,35,87861,Medium,60,11,No,Yes,1
10.07,117751,90578,9964,449,96918,Medium,64,10,Yes,Yes,1
8.68,108694,46195,0,93,77897,Medium,46,17,No,No,1
6.03,105976,28985,0,142,86955,Bad,62,17,Yes,No,0
8.07,105070,33514,0,426,81520,Medium,76,15,Yes,No,1
12.11,106882,105976,16304,509,94201,Medium,26,15,No,Yes,1
8.79,117751,33514,11775,297,91484,Medium,37,13,No,Yes,1
6.67,141302,38043,11775,170,156700,Good,74,14,Yes,Yes,0
7.56,97824,23550,0,408,84238,Medium,56,14,No,No,0
13.28,125903,63405,6340,71,86955,Good,61,10,Yes,Yes,1
7.23,101447,88766,16304,481,115940,Medium,45,11,Yes,Yes,0
4.19,105976,84238,3623,420,101447,Bad,66,11,Yes,Yes,0
4.1,117751,25362,5435,410,120469,Bad,72,16,Yes,Yes,0
2.52,112317,55253,0,333,124998,Medium,76,16,Yes,No,0
3.62,101447,72462,4529,500,115940,Medium,69,10,Yes,Yes,0
6.42,110505,79709,4529,335,114128,Medium,64,14,Yes,Yes,0
5.56,130432,83332,0,349,132244,Medium,62,12,No,No,0
5.94,124998,75180,0,139,121375,Medium,54,18,Yes,No,0
4.1,109599,70651,3623,413,117751,Bad,46,10,No,Yes,0
2.05,118657,74274,0,132,142207,Bad,25,14,Yes,No,0
8.74,140396,72462,0,237,112317,Medium,37,14,Yes,No,1
5.68,102353,19927,906,317,119563,Medium,28,12,Yes,No,0
4.97,146736,60687,0,27,144925,Medium,77,17,Yes,Yes,0
8.19,100542,95107,0,466,87861,Bad,61,10,No,No,1
7.78,77897,48912,0,497,57970,Bad,33,12,Yes,No,0
3.02,88766,19021,9964,326,81520,Bad,76,11,No,Yes,0
4.36,113222,37137,1812,357,111411,Bad,47,14,No,Yes,0
9.39,105976,106882,12681,445,108694,Medium,32,15,Yes,Yes,1
12.04,131338,62499,17210,501,95107,Medium,45,11,Yes,Yes,1
8.23,134961,76086,4529,220,125903,Medium,33,10,Yes,Yes,1
4.83,104165,104165,2717,48,96918,Medium,73,18,Yes,Yes,0
2.34,105070,75180,13587,170,130432,Bad,71,11,Yes,Yes,0
5.73,127715,29891,0,243,130432,Medium,34,17,Yes,No,0
4.34,96013,39854,0,481,100542,Medium,70,14,No,No,0
9.7,124998,55253,10869,156,108694,Medium,25,14,Yes,Yes,1
10.62,105070,71557,17210,359,105070,Good,58,17,Yes,Yes,1
10.59,118657,108694,13587,262,112317,Medium,30,10,Yes,Yes,1
6.43,112317,39854,0,125,96918,Medium,80,11,Yes,No,0
7.49,123186,107788,5435,178,131338,Medium,35,13,Yes,Yes,0
3.45,99636,40760,8152,276,113222,Medium,62,14,Yes,Yes,0
4.1,121375,74274,0,464,127715,Medium,48,13,No,No,0
6.68,96918,22644,0,412,74274,Bad,36,14,Yes,No,0
7.8,107788,29891,0,245,110505,Good,56,14,Yes,No,0
8.69,102353,57970,9058,68,91484,Medium,57,16,Yes,Yes,1
5.4,134961,66122,11775,381,147642,Bad,26,11,No,Yes,0
11.19,88766,94201,0,404,65216,Medium,27,18,No,No,1
5.16,104165,54347,0,119,103259,Bad,38,14,No,No,0
8.09,119563,62499,0,123,110505,Medium,27,11,No,No,1
13.14,124092,72462,9058,24,95107,Good,61,15,Yes,Yes,1
8.65,111411,68839,16304,218,108694,Medium,29,14,No,Yes,1
9.43,104165,56158,9964,289,116846,Good,56,16,No,Yes,1
5.53,114128,28985,7246,95,119563,Medium,50,17,Yes,Yes,0
9.32,127715,30797,14492,361,97824,Medium,69,10,Yes,Yes,1
9.62,136773,25362,7246,499,122280,Medium,48,10,Yes,Yes,1
7.36,109599,21739,0,200,120469,Good,73,13,Yes,No,0
3.89,111411,95107,0,149,106882,Bad,62,16,Yes,Yes,0
10.31,144019,72462,0,362,109599,Medium,26,18,Yes,No,1
12.01,123186,57064,0,160,85143,Medium,38,12,Yes,No,1
4.68,112317,41666,0,199,122280,Medium,52,14,No,No,0
7.82,112317,22644,11775,87,99636,Medium,57,10,Yes,Yes,0
8.78,117751,27173,0,391,90578,Medium,26,18,Yes,No,1
10.0,103259,38949,0,199,79709,Good,57,10,No,Yes,1
6.9,108694,50724,18116,266,81520,Bad,78,18,Yes,Yes,0
5.04,111411,103259,0,298,136773,Bad,34,16,Yes,No,0
5.36,100542,47101,0,12,91484,Medium,61,11,Yes,Yes,0
5.05,113222,60687,0,86,105976,Bad,65,11,Yes,No,0
9.16,124092,95107,9058,435,141302,Good,72,14,Yes,Yes,1
3.72,125903,100542,4529,310,119563,Bad,62,13,Yes,Yes,0
8.31,120469,87861,0,70,105976,Medium,32,16,Yes,No,1
5.64,112317,21739,4529,288,110505,Medium,57,12,No,Yes,0
9.58,97824,94201,20833,353,116846,Good,37,17,Yes,Yes,1
7.71,111411,73368,7246,198,73368,Bad,80,15,Yes,Yes,0
4.2,133150,36231,0,277,130432,Medium,73,10,Yes,No,0
8.67,113222,56158,12681,477,101447,Medium,80,13,Yes,Yes,1
3.47,97824,34420,0,251,73368,Bad,72,14,No,No,0
5.12,111411,32608,9058,467,90578,Bad,74,11,No,Yes,0
7.67,116846,105976,7246,400,91484,Bad,36,10,Yes,Yes,0
5.71,109599,38043,3623,188,106882,Medium,54,15,Yes,Yes,0
6.37,108694,69745,13587,86,119563,Medium,48,18,Yes,Yes,0
7.77,105070,23550,5435,434,104165,Medium,25,17,Yes,Yes,0
6.95,115940,26268,4529,324,144019,Good,31,15,Yes,Yes,0
5.31,117751,31702,9058,402,116846,Bad,39,17,Yes,Yes,0
9.1,115940,84238,10869,343,101447,Good,73,17,No,Yes,1
5.83,121375,74274,6340,473,101447,Bad,51,12,No,Yes,0
6.53,111411,51629,0,66,95107,Medium,39,11,Yes,No,0
5.01,144019,62499,0,438,150359,Medium,46,17,Yes,No,0
11.99,107788,23550,0,284,80614,Good,26,10,Yes,No,1
4.55,100542,50724,0,504,99636,Medium,62,16,Yes,No,0
12.98,102353,29891,0,14,57064,Good,38,12,Yes,No,1
10.04,105070,96013,7246,244,77897,Medium,58,12,Yes,Yes,1
7.22,122280,84238,1812,67,107788,Medium,34,11,Yes,Yes,0
6.67,96918,107788,9964,210,119563,Medium,53,11,Yes,Yes,0
6.93,122280,62499,12681,296,117751,Medium,73,15,Yes,Yes,0
7.8,123186,43477,10869,326,113222,Medium,36,16,Yes,Yes,0
7.22,103259,102353,1812,129,136773,Good,40,15,No,Yes,0
3.42,127715,51629,11775,376,143113,Medium,64,18,Yes,Yes,0
2.86,109599,77897,9058,496,131338,Bad,51,10,Yes,Yes,0
11.19,110505,62499,6340,303,95107,Good,45,16,No,Yes,1
7.74,135867,86955,0,80,139490,Good,61,11,Yes,No,0
5.36,122280,99636,0,112,105976,Medium,80,16,No,No,0
6.97,96013,41666,9964,414,86955,Bad,79,17,No,No,0
7.6,132244,23550,9964,261,118657,Medium,39,10,Yes,Yes,0
7.53,105976,106882,9964,429,102353,Medium,67,18,No,Yes,0
6.88,86049,39854,3623,208,65216,Bad,44,17,Yes,Yes,0
6.98,105070,36231,0,74,87861,Medium,76,15,No,No,0
8.75,129527,69745,22644,448,141302,Medium,43,17,Yes,Yes,1
9.49,96918,100542,12681,400,93295,Medium,41,11,No,Yes,1
6.64,106882,63405,0,106,80614,Bad,39,17,Yes,No,0
11.82,102353,59781,14492,322,67028,Good,76,15,Yes,Yes,1
11.28,111411,76086,0,74,80614,Good,59,10,Yes,No,1
12.66,134055,68839,2717,126,89672,Good,60,11,Yes,Yes,1
4.21,106882,31702,12681,502,124092,Medium,79,10,No,Yes,0
8.21,115034,39854,11775,160,111411,Good,63,18,Yes,Yes,1
3.07,106882,75180,11775,276,94201,Bad,75,10,Yes,Yes,0
10.98,134055,57064,0,312,117751,Good,63,15,Yes,No,1
9.4,122280,36231,15398,497,86955,Medium,54,17,No,Yes,1
8.57,105070,70651,906,158,89672,Medium,45,11,Yes,Yes,1
7.41,89672,84238,0,198,78803,Medium,57,16,Yes,Yes,0
5.28,97824,69745,11775,388,99636,Bad,74,14,Yes,Yes,0
10.01,120469,47101,14492,290,89672,Medium,43,11,Yes,Yes,1
11.93,111411,88766,10869,408,121375,Good,29,10,Yes,Yes,1
8.03,104165,26268,23550,394,119563,Medium,33,13,Yes,Yes,1
4.78,118657,28985,906,85,120469,Medium,48,12,Yes,Yes,0
5.9,124998,83332,0,13,108694,Bad,61,12,Yes,No,0
9.24,114128,72462,17210,436,114128,Medium,52,10,Yes,Yes,1
11.18,118657,100542,11775,33,72462,Bad,68,18,Yes,Yes,1
9.53,158512,58876,26268,419,150359,Medium,53,12,Yes,Yes,1
6.15,132244,61593,10869,328,119563,Bad,51,14,Yes,Yes,0
6.8,124092,105976,4529,337,122280,Bad,38,10,Yes,Yes,0
9.33,93295,73368,2717,491,48912,Medium,66,13,Yes,No,1
7.72,120469,29891,9058,333,116846,Good,71,14,Yes,Yes,0
6.39,118657,19021,7246,220,154888,Good,29,14,Yes,Yes,0
15.63,110505,32608,4529,369,65216,Good,35,10,Yes,Yes,1
6.41,128621,27173,0,472,123186,Good,80,15,No,No,0
10.08,105070,65216,9058,456,117751,Good,41,14,No,Yes,1
6.97,115034,40760,17210,459,116846,Medium,57,11,No,Yes,0
5.86,123186,63405,10869,171,137679,Medium,44,18,Yes,Yes,0
7.52,111411,35325,4529,499,88766,Medium,34,15,Yes,No,0
9.16,126809,45289,9058,300,125903,Good,60,15,Yes,Yes,1
10.36,96918,95107,16304,428,93295,Medium,34,12,Yes,Yes,1
2.66,123186,58876,3623,133,135867,Bad,53,13,Yes,Yes,0
11.7,130432,62499,9964,131,94201,Medium,47,11,Yes,Yes,1
4.69,120469,27173,0,152,110505,Medium,53,17,Yes,No,0
6.23,101447,34420,15398,316,94201,Medium,80,16,Yes,Yes,0
3.15,105976,59781,906,65,100542,Bad,55,11,Yes,Yes,0
11.27,90578,48912,8152,433,80614,Good,45,12,Yes,Yes,1
4.99,110505,53441,0,501,101447,Bad,32,14,No,No,0
10.1,122280,57064,13587,213,121375,Medium,32,10,Yes,Yes,1
5.74,96013,29891,18116,354,94201,Medium,61,12,Yes,Yes,0
5.87,123186,54347,6340,303,133150,Medium,41,10,Yes,Yes,0
7.63,84238,105976,8152,489,75180,Bad,42,13,Yes,Yes,0
6.18,108694,63405,13587,464,99636,Medium,72,15,Yes,Yes,0
5.17,124998,31702,5435,60,129527,Bad,28,18,Yes,No,0
8.61,117751,34420,0,283,92390,Medium,80,15,Yes,No,1
5.97,101447,21739,0,164,91484,Medium,45,11,Yes,No,0
11.54,121375,39854,3623,219,114128,Good,44,15,Yes,Yes,1
7.5,126809,26268,0,105,82426,Bad,43,16,Yes,No,0
7.38,88766,108694,0,268,84238,Medium,72,10,No,No,0
7.81,124092,92390,11775,422,106882,Medium,71,10,No,Yes,0
5.99,105976,38043,9058,371,109599,Bad,26,14,Yes,Yes,0
8.43,124998,72462,0,108,114128,Good,70,13,No,Yes,1
4.81,109599,61593,0,279,134961,Good,79,12,Yes,No,0
8.97,119563,96918,0,144,113222,Medium,33,13,No,No,1
6.88,86955,35325,0,161,101447,Good,27,14,No,No,0
12.57,119563,92390,18116,459,96918,Good,49,11,Yes,Yes,1
9.32,121375,24456,16304,467,86955,Medium,49,14,No,Yes,1
8.64,100542,91484,15398,266,82426,Medium,63,17,No,Yes,1
10.44,112317,104165,14492,458,95107,Medium,62,16,No,Yes,1
13.44,120469,93295,12681,288,110505,Good,61,17,Yes,Yes,1
9.45,96918,60687,10869,430,83332,Medium,35,12,No,Yes,1
5.3,120469,28079,906,80,131338,Medium,42,18,Yes,Yes,0
7.02,117751,90578,0,306,132244,Good,42,11,Yes,No,0
3.58,128621,98730,0,111,148548,Good,72,12,Yes,No,0
13.36,93295,66122,2717,276,65216,Medium,34,15,Yes,Yes,1
4.17,111411,86955,9058,71,106882,Bad,69,11,Yes,Yes,0
3.13,117751,56158,9964,396,117751,Bad,66,14,Yes,Yes,0
8.77,106882,77897,6340,265,103259,Good,52,15,No,Yes,1
8.68,118657,22644,9058,183,94201,Medium,56,15,No,Yes,1
5.25,118657,49818,0,26,99636,Bad,79,12,Yes,Yes,0
10.26,100542,67934,906,377,97824,Good,25,12,Yes,No,1
10.5,110505,19021,14492,488,118657,Good,30,14,Yes,Yes,1
6.53,139490,27173,0,122,146736,Medium,57,17,No,No,0
5.98,112317,50724,9964,447,121375,Medium,53,12,No,Yes,0
14.37,86049,96013,0,256,48006,Good,52,17,Yes,No,1
10.71,98730,19927,9058,348,71557,Good,74,14,No,Yes,1
10.26,122280,90578,19927,463,110505,Medium,36,14,Yes,Yes,1
7.68,114128,37137,19927,403,107788,Bad,42,12,Yes,Yes,0
9.08,137679,73368,0,191,114128,Medium,54,16,Yes,No,1
7.8,109599,45289,0,508,88766,Medium,65,11,No,No,0
5.58,124092,64310,0,402,105070,Medium,78,17,Yes,No,0
9.44,118657,42572,6340,90,106882,Medium,47,12,Yes,Yes,1
7.9,119563,41666,3623,206,112317,Medium,73,11,Yes,No,0
16.27,127715,54347,17210,319,83332,Good,44,11,Yes,Yes,1
6.81,119563,55253,0,263,113222,Medium,41,12,No,No,0
6.11,120469,79709,2717,105,107788,Medium,79,12,Yes,Yes,0
5.81,113222,100542,0,404,96918,Bad,54,15,Yes,No,0
9.64,96013,57970,9058,17,80614,Medium,68,17,Yes,Yes,1
3.9,112317,58876,19021,496,136773,Bad,77,13,Yes,Yes,0
4.95,109599,25362,17210,315,109599,Medium,66,14,Yes,Yes,0
9.35,88766,105976,0,76,61593,Medium,63,10,Yes,No,1
12.85,111411,33514,13587,348,101447,Good,28,12,Yes,Yes,1
5.87,118657,66122,11775,455,119563,Medium,62,17,Yes,Yes,0
5.32,137679,105070,0,170,144925,Medium,39,16,Yes,No,0
8.67,128621,66122,12681,238,104165,Medium,73,14,No,Yes,1
8.14,122280,80614,9964,245,70651,Bad,79,16,Yes,Yes,1
8.44,115940,38043,7246,328,96918,Medium,35,12,Yes,Yes,1
5.47,97824,67934,8152,61,100542,Medium,67,12,Yes,Yes,0
6.1,138584,57064,0,49,112317,Bad,56,16,Yes,No,0
4.53,116846,38043,11775,315,117751,Bad,34,13,Yes,Yes,0
5.57,98730,46195,9058,26,108694,Medium,30,17,No,Yes,0
5.35,117751,52535,17210,366,125903,Bad,33,16,Yes,Yes,0
12.57,124998,97824,15398,203,115940,Good,33,14,Yes,Yes,1
6.14,125903,20833,2717,37,108694,Medium,55,11,No,Yes,0
7.41,146736,23550,10869,368,144019,Medium,40,18,Yes,Yes,0
5.94,90578,71557,6340,284,86049,Bad,50,12,Yes,Yes,0
9.71,121375,33514,0,27,108694,Good,49,16,Yes,Yes,1
